Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0124.rcc.local:UCM:ddc5:bc77a700: 1178729071 us(753685 us!!!):  ucm_recv: UNKNOWN msg 0x232c268, ver 0
midway2-0124.rcc.local:UCM:ddc7:75222700: 1178917480 us(836016 us!!!):  ucm_recv: UNKNOWN msg 0x2724f68, ver 0
midway2-0124.rcc.local:UCM:ddc9:72262700: 1178922152 us(1178922152 us!!!):  ucm_recv: UNKNOWN msg 0x17b8d68, ver 0
midway2-0106.rcc.local:UCM:1ba4:269a0700: 1178896436 us(3136057 us!!!):  ucm_recv: UNKNOWN msg 0x1089c68, ver 0
midway2-0106.rcc.local:UCM:1b97:95f8f700: 1179112413 us(6490002 us!!!):  ucm_recv: UNKNOWN msg 0x134bf68, ver 0
midway2-0106.rcc.local:UCM:1bac:ec687700: 1179097579 us(1659772 us!!!):  ucm_recv: UNKNOWN msg 0x2007068, ver 0
midway2-0124.rcc.local:UCM:ddc6:d6cc9700: 1179318571 us(835937 us!!!):  ucm_recv: UNKNOWN msg 0x24ace68, ver 0
midway2-0106.rcc.local:UCM:1ba5:3599f700: 1179303300 us(3135981 us!!!):  ucm_recv: UNKNOWN msg 0x232bb68, ver 0
midway2-0124.rcc.local:UCM:ddca:11b30700: 1179326959 us(1179326959 us!!!):  ucm_recv: UNKNOWN msg 0x1eeba68, ver 0
midway2-0124.rcc.local:UCM:ddc8:c0546700: 1179524240 us(1000199 us!!!):  ucm_recv: UNKNOWN msg 0xd30b68, ver 0
midway2-0106.rcc.local:UCM:1bad:67f29700: 1179507952 us(1553771 us!!!):  ucm_recv: UNKNOWN msg 0xad9d68, ver 0
midway2-0106.rcc.local:UCM:1b98:7dbf0700: 1179696493 us(6474341 us!!!):  ucm_recv: UNKNOWN msg 0x202a268, ver 0
midway2-0124.rcc.local:UCM:ddc7:75222700: 1179721963 us(804483 us!!!):  ucm_recv: UNKNOWN msg 0x2725068, ver 0
midway2-0106.rcc.local:UCM:1ba6:d8116700: 1179702721 us(3130433 us!!!):  ucm_recv: UNKNOWN msg 0x1765c68, ver 0
midway2-0124.rcc.local:UCM:ddc9:72262700: 1179726591 us(804439 us!!!):  ucm_recv: UNKNOWN msg 0x17b8e68, ver 0
