wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun,gunlaw,courts,courtsy,wirtap,relig,denom,other,fund,attend,reliten,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,prayery,racmar,racdin,raclive,racclos,racdis,racinteg,rachome,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,life,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,getahead,fehome,fework,fepres,fepol,fepoly,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,xmarsex,homosex,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,commun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,wtssall
retired,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,b,no,keeping house,e,e,yes,d,c,self-employed,c,c,verbatims for sp,"found, coded",found,d,d,employment services,"found, coded",found,d,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,e,c,e,b,a,a,c,lt high school,lt high school,lt high school,high school,male,black,farm,e. sou. central,"same st,dif city",mother & father,,no,,,average,c,c,c,c,c,c,b,$4000 to 4999,,e. sou. central,city gt 250000,smsa's 13-100,301,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,not str republican,voted,nixon,,moderate,too much,too little,too little,too little,too little,too little,,too little,too much,too much,too little,not allowed,not allowed,not remove,not allowed,not allowed,not remove,not allowed,not fired,not remove,not allowed,not allowed,remove,favor,oppose,not harsh enough,,disapprove,protestant,baptist-dk which,,fundamentalist,more thn once wk,strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,,,,,,,,,,,,favor,yes,pretty happy,very happy,good,routine,very great deal,great deal,very great deal,very great deal,a fair amount,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,only some,only some,only some,only some,a great deal,once a month,sev times a week,sev times a mnth,never,agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,,,third,fourth,fifth,second,most impt,upper class,satisfied,better,above average,,,,,no,yes,hard work,agree,disapprove,yes,agree,,no,no,no,no,no,no,c,no,e,e,available,not available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,no,yes,yes,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"1,000 to 4,999",c,e,c,e,africa,names 1,none,,incorrect,correct,correct,incorrect,,correct,correct,incorrect,correct,incorrect,c,c,c,b,c,d,b,insurance representatives,crop farm labourers,nursing professionals,c,c,c,b,b,b,d,d,d,worst kind,b,a,a,b,b,b,a,b,a,a,149,c
retired,e,e,yes,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,yes,keeping house,e,e,yes,e,b,someone else,c,c,verbatims for sp,"found, coded",found,b,b,private households,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,e,c,d,a,e,b,c,lt high school,,lt high school,high school,male,black,town lt 50000,e. sou. central,"same st,dif city",female relative,"divorce,separated",,,,below average,c,c,c,c,c,c,b,,,e. sou. central,city gt 250000,smsa's 13-100,301,d,c,c,c,c,c,d,c,c,b,b,a,e,e,e,e,e,e,"ind,near dem",did not vote,,mcgovern,liberal,too much,too little,too little,too little,too little,too little,about right,about right,too little,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,favor,,not harsh enough,disapprove,protestant,baptist-dk which,,fundamentalist,2-3x a month,not very strong,protestant,baptist-dk which,,fundamentalist,protestant,other,church of god in christ holiness,fundamentalist,protestant,baptist-dk which,,fundamentalist,,required,,,,,,,,,,,oppose,yes,very happy,very happy,fair,routine,very great deal,great deal,very great deal,very great deal,a fair amount,only some,hardly any,a great deal,hardly any,a great deal,only some,only some,only some,a great deal,hardly any,only some,a great deal,never,never,never,never,disagree,agree,disagree,agree,agree,disagree,agree,agree,agree,,,fourth,most impt,fifth,second,third,middle class,satisfied,better,average,,,,,no,yes,hard work,agree,disapprove,no,,men,yes,no,yes,yes,yes,yes,c,no,e,e,not available,not available,oppose,more difficult,sometimes wrong,always wrong,always wrong,yes,no,no,yes,yes,no,yes,no,no,phone in home,"friendly,interested",fair,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,borderline -- imputed,,e,e,e,e,africa,names 1,none,,correct,incorrect,,correct,correct,correct,,,correct,,c,d,e,c,d,e,d,"railway brake, signal and switch operators",,domestic cleaners and helpers,c,c,d,e,e,e,b,b,b,worst kind,b,a,a,a,a,b,a,b,b,b,149,c
keeping house,e,e,yes,d,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,"unempl, laid off",e,e,,c,c,someone else,b,d,verbatims for sp,"found, coded",found,c,c,foundries,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,b,c,b,c,e,c,a,lt high school,,lt high school,lt high school,female,black,town lt 50000,e. sou. central,same city,mother,"divorce,separated",,,,average,d,e,d,c,c,c,c,$4000 to 4999,,e. sou. central,city gt 250000,smsa's 13-100,301,c,c,b,c,c,c,d,c,b,c,c,c,e,e,e,e,e,e,,did not vote,,wouldnt vote,moderate,too much,too much,too little,about right,too little,too little,about right,too little,too little,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,oppose,favor,too harsh,,disapprove,protestant,baptist-dk which,,fundamentalist,once a year,not very strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,,,,,,,,,,,,oppose,yes,pretty happy,not too happy,fair,routine,some,a little,great deal,a fair amount,quite a bit,hardly any,a great deal,a great deal,only some,hardly any,only some,a great deal,only some,only some,hardly any,only some,a great deal,once a year,sev times a week,once a month,never,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,a little dissat,,fourth,third,fifth,second,most impt,middle class,not at all sat,worse,far below average,,,,,yes,yes,hard work,disagree,approve,yes,disagree,,no,no,,no,no,no,e,no,e,e,available,not available,favor,easier,sometimes wrong,always wrong,always wrong,,yes,yes,no,no,no,no,no,no,no phone,"friendly,interested",fair,standard <x>,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,c,poor,"-4,999 to -1,000",c,e,c,e,africa,names 1,none,,correct,correct,,correct,correct,correct,,,correct,incorrect,c,c,e,d,c,e,d,chefs,,"crane, hoist and related plant operators",c,c,c,e,e,e,c,b,c,ok for some,c,c,c,c,d,c,c,c,d,d,149,c
keeping house,e,e,yes,c,b,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,d,c,someone else,c,d,verbatims for sp,"found, coded",found,c,c,other personal services,"found, coded",found,d,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,e,c,c,c,b,a,c,high school,lt high school,lt high school,lt high school,female,black,farm,e. sou. central,"same st,dif city",m and f relatives,other,,,,far below average,c,c,e,c,c,c,c,,,e. sou. central,city gt 250000,smsa's 13-100,301,d,c,c,b,b,b,c,c,c,c,c,c,c,c,b,c,c,c,strong democrat,voted,mcgovern,,moderate,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,not remove,not allowed,fired,not remove,not allowed,not allowed,not remove,oppose,oppose,,not harsh enough,disapprove,protestant,baptist-dk which,,fundamentalist,2-3x a month,strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,required,,,,,,,,,,,favor,yes,pretty happy,pretty happy,fair,routine,a fair amount,quite a bit,great deal,a fair amount,a fair amount,only some,only some,a great deal,only some,a great deal,only some,a great deal,only some,hardly any,,hardly any,a great deal,once a month,almost daily,sev times a mnth,once a year,agree,agree,agree,disagree,agree,agree,agree,agree,agree,very satisfied,,most impt,second,fifth,fourth,third,middle class,not at all sat,stayed same,below average,yes,yes,no,,yes,yes,both equally,agree,approve,yes,,men,no,no,no,no,no,no,c,yes,d,c,not available,not available,favor,easier,not wrong at all,not wrong at all,always wrong,yes,no,no,yes,yes,no,no,no,no,refused,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,c,not poor -- imputed,,e,e,e,e,africa,names 1,none,,correct,correct,,correct,,correct,,incorrect,correct,,c,c,c,d,d,d,d,"messengers, package deliverers and luggage porters",crop farm labourers,heavy truck and lorry drivers,c,c,c,b,b,b,c,b,c,worst kind,b,a,e,a,e,b,c,d,c,c,149,c
working fulltime,c,e,,d,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,never married,e,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,c,c,c,e,high school,lt high school,lt high school,,female,black,city gt 250000,e. sou. central,same city,mother & father,,no,,,average,e,e,d,e,c,c,e,$20000 - 24999,$1000 to 2999,e. sou. central,city gt 250000,smsa's 13-100,301,c,c,b,c,c,c,e,e,e,e,e,e,d,c,c,b,b,c,strong democrat,did not vote,,mcgovern,conservative,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,too little,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,favor,oppose,,too harsh,disapprove,protestant,baptist-dk which,,fundamentalist,once a year,not very strong,protestant,methodist-dk which,,moderate,,,,,,,,,,required,,,,,,,,,,,favor,yes,very happy,,excellent,exciting,very great deal,great deal,great deal,very great deal,very great deal,a great deal,a great deal,a great deal,only some,hardly any,a great deal,a great deal,a great deal,only some,hardly any,hardly any,a great deal,almost daily,sev times a week,almost daily,never,disagree,agree,agree,disagree,agree,disagree,agree,agree,agree,very satisfied,stop working,most impt,fifth,fourth,third,second,,satisfied,better,far above average,yes,yes,,,yes,no,hard work,disagree,approve,yes,,men,no,no,yes,no,no,no,c,no,e,e,available,available,favor,easier,not wrong at all,always wrong,always wrong,no,no,no,yes,yes,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,c,not poor,"10,000 to 20,000",c,c,d,c,africa,names 1,none,,correct,correct,,correct,correct,correct,,incorrect,incorrect,incorrect,c,c,c,e,c,c,e,cooks,metal working machine tool setters and operators,,b,b,b,b,b,c,e,e,e,worst kind,b,a,b,c,b,b,a,b,d,e,149,c
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,b,c,verbatims for sp,"found, coded",found,c,c,construction,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,b,c,e,c,c,high school,,high school,high school,male,white,farm,e. sou. central,"same st,dif city",mother,"divorce,separated",,,,below average,c,c,c,c,c,c,c,$10000 - 14999,$7000 to 7999,e. sou. central,open country,other urban,2,d,c,c,c,c,c,c,c,c,c,b,c,e,e,e,e,e,e,"ind,near dem",did not vote,,nixon,moderate,about right,too little,about right,,too little,too little,about right,about right,too little,too much,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,oppose,not harsh enough,,disapprove,protestant,baptist-dk which,,fundamentalist,every week,strong,protestant,other,assembly of god,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,,yes,mildly object,yes,no,over 8 blks,stay integrated,no,no,no,"yes, object",oppose,yes,very happy,very happy,excellent,exciting,very great deal,very great deal,very great deal,very great deal,very great deal,hardly any,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal,a great deal,a great deal,a great deal,sev times a week,sev times a mnth,once a month,never,disagree,disagree,disagree,disagree,agree,disagree,disagree,agree,disagree,mod. satisfied,continue working,third,second,fifth,fourth,most impt,working class,satisfied,better,average,yes,yes,no,,no,no,hard work,disagree,approve,yes,disagree,,yes,no,yes,yes,yes,no,c,yes,c,c,available,available,favor,more difficult,sometimes wrong,always wrong,always wrong,yes,no,no,yes,no,yes,no,yes,no,no phone,cooperative,good,standard <x>,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,c,not poor,"5,000 to 9,999",c,c,c,c,,cannot name any,none,,incorrect,incorrect,,correct,,incorrect,incorrect,incorrect,incorrect,incorrect,a,c,e,c,c,e,c,"butchers, fishmongers and related food preparers",,filing and copying clerks,b,b,c,e,e,e,c,c,c,worst kind,b,c,d,c,c,b,c,b,d,d,184,c
retired,e,e,yes,d,c,self-employed,b,found,b,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,c,no,working fulltime,c,e,,c,b,someone else,c,d,verbatims for sp,"found, coded",found,b,b,grocery stores,"found, coded",found,d,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,d,b,e,e,b,lt high school,,,lt high school,male,white,farm,e. sou. central,same city,father,parent died,,,,above average,c,c,c,c,c,c,c,$4000 to 4999,,e. sou. central,open country,other urban,2,b,c,b,c,c,c,d,c,c,b,b,c,c,c,b,c,c,c,other party,voted,nixon,,moderate,about right,too much,too little,too much,too little,too little,too little,about right,too little,too much,too little,not allowed,not allowed,remove,allowed,allowed,remove,not allowed,not fired,remove,not allowed,not allowed,remove,favor,oppose,too harsh,,approve,protestant,baptist-dk which,,fundamentalist,every week,not very strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,,yes,strongly object,yes,yes,over 8 blks,stay integrated,no,no,no,no,oppose,no,very happy,not too happy,poor,dull,quite a bit,great deal,quite a bit,great deal,none,hardly any,only some,a great deal,hardly any,hardly any,hardly any,a great deal,only some,hardly any,,hardly any,only some,sev times a week,sev times a week,never,never,disagree,agree,agree,agree,agree,disagree,agree,agree,agree,,,most impt,fourth,second,third,fifth,lower class,not at all sat,stayed same,below average,yes,yes,no,,no,yes,luck or help,disagree,approve,yes,disagree,,yes,no,yes,no,yes,no,c,inappropriate,e,e,available,available,favor,more difficult,always wrong,always wrong,always wrong,no,no,no,yes,no,yes,no,no,no,no phone,cooperative,fair,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"1,000 to 4,999",c,e,c,e,,cannot name any,none,,incorrect,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,correct,incorrect,c,c,c,c,b,b,d,agricultural and forestry production managers,agricultural and forestry production managers,hand packers,c,c,c,c,c,c,b,b,b,"bad, not worst",c,b,d,c,d,b,c,b,b,b,184,c
retired,e,e,yes,d,c,self-employed,b,found,b,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,c,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,e,a,e,e,a,lt high school,,lt high school,lt high school,male,white,farm,e. sou. central,same city,mother,parent died,,,,below average,c,c,c,c,d,c,b,$1000 to 2999,,e. sou. central,open country,other urban,2,b,c,b,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,strong democrat,did not vote,,other,,too much,about right,too little,,too little,too little,about right,about right,too little,too much,about right,not allowed,not allowed,remove,,not allowed,,not allowed,fired,remove,not allowed,not allowed,remove,oppose,favor,,not harsh enough,disapprove,protestant,baptist-dk which,,fundamentalist,once a month,strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,local decision,yes,strongly object,yes,yes,over 8 blks,stay integrated,no,"yes, object",,,oppose,no,pretty happy,very happy,poor,exciting,very great deal,a fair amount,very great deal,very great deal,none,,a great deal,a great deal,only some,only some,a great deal,a great deal,hardly any,only some,,only some,a great deal,sev times a mnth,once a month,sev times a year,never,,,agree,agree,agree,,agree,agree,agree,,,most impt,fifth,fourth,second,third,lower class,satisfied,better,average,,,,,no,yes,luck or help,agree,disapprove,yes,,,yes,no,yes,,yes,no,c,inappropriate,e,e,not available,not available,oppose,more difficult,always wrong,always wrong,always wrong,no,no,no,yes,yes,yes,no,no,no,no phone,"friendly,interested",fair,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,poor,"-4,999 to -1,000",b,e,b,e,,cannot name any,less than 2 yrs,army,incorrect,,incorrect,incorrect,incorrect,,,incorrect,correct,,a,c,e,e,b,e,e,agricultural and forestry production managers,,,c,c,c,e,e,e,e,e,e,worst kind,b,a,d,c,d,b,d,d,a,a,184,d
retired,e,e,yes,d,b,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,d,"found, coded",found,widowed,c,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,d,b,e,e,e,lt high school,lt high school,lt high school,,female,white,farm,e. sou. central,"same st,dif city",mother & father,,no,,,average,c,c,d,c,c,c,c,,,e. sou. central,open country,other urban,2,d,c,c,c,b,b,e,e,e,e,e,e,c,c,b,c,c,c,not str republican,,,,extrmly conservative,too much,too little,too little,,too little,too little,about right,,about right,too much,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,,not allowed,remove,favor,favor,not harsh enough,,approve,protestant,baptist-dk which,,fundamentalist,once a month,not very strong,protestant,baptist-dk which,,fundamentalist,,,,,,,,,disapprove,,yes,strongly object,yes,yes,4-8 blks away,stay integrated,no,no,no,no,oppose,no,pretty happy,,poor,dull,quite a bit,none,great deal,great deal,none,only some,a great deal,only some,only some,,only some,a great deal,hardly any,hardly any,,only some,hardly any,sev times a week,once a month,never,never,disagree,agree,agree,agree,agree,disagree,agree,agree,agree,,,fourth,most impt,fifth,third,second,upper class,satisfied,stayed same,average,,,,,no,no,luck or help,agree,disapprove,no,agree,,no,no,yes,yes,yes,yes,d,inappropriate,e,e,available,not available,favor,stay same,always wrong,always wrong,always wrong,yes,no,no,yes,yes,yes,no,no,no,phone in home,"friendly,interested",fair,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor -- imputed,,e,e,e,e,,cannot name any,none,,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,a,c,c,e,c,d,e,home-based personal care workers,crop farm labourers,,b,c,b,b,b,b,e,e,e,"bad, not worst",b,d,c,a,c,c,a,d,b,b,184,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,b,no,retired,e,e,yes,d,c,someone else,b,a,verbatims for sp,"found, coded",found,c,c,crop production,"found, coded",found,d,c,someone else,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,e,c,c,c,c,a,lt high school,lt high school,lt high school,lt high school,female,black,farm,e. sou. central,different state,mother & father,,no,,,below average,e,c,d,e,c,c,b,$1000 to 2999,,e. sou. central,open country,other urban,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,b,c,c,c,"ind,near rep",voted,mcgovern,,liberal,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,oppose,favor,,,disapprove,protestant,baptist-dk which,,fundamentalist,every week,somewhat strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,,,required,,,,,,,,,,,oppose,yes,very happy,very happy,poor,exciting,very great deal,a fair amount,none,some,none,only some,hardly any,a great deal,a great deal,hardly any,hardly any,only some,hardly any,hardly any,hardly any,hardly any,hardly any,sev times a week,never,sev times a mnth,never,disagree,disagree,disagree,agree,agree,disagree,agree,agree,agree,,,second,third,fourth,fifth,most impt,middle class,not at all sat,worse,far below average,,,,,no,no,hard work,,disapprove,no,,women,,no,,no,no,no,e,no,e,e,available,available,oppose,more difficult,always wrong,always wrong,always wrong,yes,no,no,yes,no,yes,no,no,no,phone in home,"friendly,interested",fair,alternate <y>,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,c,poor,"-4,999 to -1,000",b,e,b,e,africa,names 1,none,,correct,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,b,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,worst kind,b,e,e,c,e,d,d,e,c,c,184,c
